jurisdiction_id,subdivision_code,jurisdiction_name,authority_id,regulatory_source_id,research_depth,regulatory_system,management_geographies,regulation_formats,gis_status,gis_legal_standing,gis_licensing,required_dimensions,federal_land_dependencies,known_blockers,implementation_readiness,engine_compatibility,engine_gaps,annual_artifact,monitor_strategy,fixture_candidates,reviewed_at
jurisdiction:us-or,OR,Oregon,authority:us-or-odfw,source:us-or-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management Unit,PDF,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-pa,PA,Pennsylvania,authority:us-pa-pgc,source:us-pa-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management Unit (WMU),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ri,RI,Rhode Island,authority:us-ri-dem,source:us-ri-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-sc,SC,South Carolina,authority:us-sc-dnr,source:us-sc-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Game Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-sd,SD,South Dakota,authority:us-sd-gfp,source:us-sd-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Unit,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-tn,TN,Tennessee,authority:us-tn-twra,source:us-tn-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Unit/Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-tx,TX,Texas,authority:us-tx-tpwd,source:us-tx-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ut,UT,Utah,authority:us-ut-dwr,source:us-ut-hunting,WAVE_1_DEEP,Hunt/permit code + species + unit/boundary + general/limited-entry/CWMU + draw,Species hunt units; limited-entry and antlerless boundaries; CWMUs; extended-archery areas,Versioned PDF guidebooks; correction log; interactive hunt-boundary application; mobile permit maps,OFFICIAL_INTERACTIVE_BOUNDARIES_FOUND_DOWNLOAD_AND_TERMS_UNRESOLVED,Guidebooks summarize statute/rules; legal rules and current boundary descriptions govern,UNRESOLVED,species; hunt code; unit; permit class; sex/age; season; method; draw; CWMU/private land; correction version,USFS/BLM; refuge/park restrictions; tribal land permissions,Guidebooks receive dated corrections; CWMU and extended-archery geometries are independent overlays; boundary API not certified,RESEARCH_DEEP_API_AND_CORRECTIONS_BLOCKED,PARTIAL_MAJOR_EXTENSION,hunt/permit codes; program-specific geometry; corrections ledger; draw and private-land eligibility,Versioned application and field guidebooks plus correction entries,Poll version and corrections metadata; snapshot boundary descriptions and map service,deleted CWMU hunt correction; extended-archery overlay; general vs limited-entry permit,2026-09-20
jurisdiction:us-vt,VT,Vermont,authority:us-vt-fw,source:us-vt-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management Unit (WMU),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-va,VA,Virginia,authority:us-va-dwr,source:us-va-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-wa,WA,Washington,authority:us-wa-wdfw,source:us-wa-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Game Management Unit (GMU),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-wv,WV,West Virginia,authority:us-wv-dnr,source:us-wv-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-wi,WI,Wisconsin,authority:us-wi-dnr,source:us-wi-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Deer Management Unit/Zone,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-wy,WY,Wyoming,authority:us-wy-wgfd,source:us-wy-hunting,WAVE_1_DEEP,Species-specific hunt area + license type + quota/limitation + season chapter,Species-specific hunt areas; nonresident regions; HMAs/WHMAs/walk-in areas; wilderness overlays,HTML regulation index; chapter PDFs; species maps; brochures; access-area rules,OFFICIAL_MAPS_FOUND_DOWNLOAD_CONTRACT_UNRESOLVED,Written hunt-area descriptions are authoritative; maps state they are general reference,UNRESOLVED,species; hunt area; license type; quota; sex/age class; season; method; residency; special permit; access property,National Elk Refuge; USFS/BLM; wilderness guide rule for nonresidents; refuge permits,Species-specific geometries cannot be replaced by one statewide unit layer; written descriptions must be retained and versioned,RESEARCH_DEEP_LEGAL_GEOMETRY_BLOCKED,PARTIAL_MAJOR_EXTENSION,species-specific geography versions; license types and quotas; property permission; written-description authority,"Species season chapters, maps, brochures, and access-property rules",Diff chapter rules and written boundaries; treat map changes as advisory until reconciled,elk Area 77 + National Elk Refuge permit; limited-quota vs general region; species-specific area mismatch,2026-09-20
